
************************************************************
EXPERIMENT:  ceiling-test
DATE:  Mon May  5 21:24:32 2003
PARAMETERS:
  total number of packets: 200
  packet size: 50 bytes
  period time: 1000 miliseconds
  power setting: 70 units
************************************************************

NODE 2 (29.000000 18.000000 0.000000):
--------------------------------------
[1] 193 96.50 200
[3] 195 97.50 200
[4] 193 96.50 200
[5] 196 98.00 200
[6] 190 95.00 200
[7] 195 97.50 200
[8] 193 96.50 200
[9] 188 94.00 200
[10] 184 92.00 200
[11] 191 95.50 200
[16] 199 99.50 200
[17] 193 96.50 200
[18] 198 99.00 200
[19] 180 90.00 200
[20] 178 89.00 199
[21] 181 90.50 199
[22] 187 93.50 200
[23] 190 95.00 200
[24] 164 82.00 199
[25] 171 85.50 200
[26] 178 89.00 200
[27] 187 93.50 200
[32] 1 0.50 3602457370
[33] 30 15.00 194
[34] 91 45.50 196
[35] 172 86.00 200
[37] 146 73.00 200
[38] 51 25.50 198
[40] 193 96.50 200
[41] 188 94.00 200
[42] 101 50.50 197
[43] 183 91.50 200
[44] 61 30.50 200
[48] 199 99.50 13549388441711542472
[49] 127 63.50 200
[50] 191 95.50 200
[51] 107 53.50 199
[52] 167 83.50 199
[53] 185 92.50 200
[54] 198 99.00 200
[55] 198 99.00 200

NODE 3 (33.000000 18.000000 0.000000):
--------------------------------------
[1] 192 96.00 200
[2] 197 98.50 200
[4] 190 95.00 200
[5] 195 97.50 200
[6] 196 98.00 200
[8] 192 96.00 200
[9] 179 89.50 200
[10] 186 93.00 200
[11] 189 94.50 200
[16] 199 99.50 200
[18] 198 99.00 200
[19] 186 93.00 200
[21] 174 87.00 199
[22] 193 96.50 199
[24] 170 85.00 199
[25] 169 84.50 200
[27] 185 92.50 200
[32] 1 0.50 200
[34] 195 97.50 200
[35] 21 10.50 200
[37] 186 93.00 200
[38] 37 18.50 200
[40] 192 96.00 200
[42] 19 9.50 197
[44] 2 1.00 38
[48] 198 99.00 12900925070951579848
[50] 196 98.00 200
[51] 3 1.50 54
[52] 173 86.50 199
[53] 1 0.50 29
[54] 153 76.50 198
[55] 197 98.50 200

NODE 4 (29.000000 8.000000 0.000000):
--------------------------------------
[1] 172 86.00 199
[2] 194 97.00 200
[3] 133 66.50 200
[5] 65 32.50 200
